SimulationID	Pseudo_isoT(K)	Density(kg/m^3)	T(K)	σT(K)	P(GPa)	σP(GPa)	 	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
RN005	3651	1900.003355	3656.675123	20.646324	-0.21307	0.156412		4.846271E-08	1.231718E-08	7.155744E-09	4.907093E-09
RN012	3651	2000.004505	3659.297364	21.424848	-0.15527	0.177074		4.303609E-08	1.234443E-08	7.238272E-09	7.046648E-09
RN019	3651	2100.000401	3633.488753	20.855869	0.11852	0.175861		3.585389E-08	1.046799E-08	6.063621E-09	7.771835E-09
RN027	3651	2200.001005	3641.576104	20.859346	0.56488	0.192138		3.108504E-08	1.009658E-08	5.913039E-09	8.077929E-09
RN035	3651	2250.001096	3632.958173	20.519617	0.84948	0.188021		2.961579E-08	1.042855E-08	6.241031E-09	6.430813E-09
RN043	3651	2300.001057	3694.655742	21.571387	1.25731	0.196262		2.752237E-08	1.124052E-08	6.197196E-09	7.374237E-09
RN051	3651	2400.001105	3634.015132	21.222771	1.98199	0.190350		2.434980E-08	1.024902E-08	5.690077E-09	4.534210E-09
RN059	3651	2500.001096	3657.996478	22.497413	3.03663	0.206152		2.159610E-08	1.021285E-08	5.808460E-09	7.783745E-09
RN067	3651	2600.004334	3673.359915	20.241934	4.31419	0.223370		1.679264E-08	1.011339E-08	5.637378E-09	3.351826E-09
RN075	3651	2700.000113	3626.591516	20.377040	5.68060	0.220838		1.536112E-08	9.403558E-09	5.515123E-09	4.014743E-09
RN083	3651	2800.002586	3662.790464	19.735634	7.51237	0.234097		1.435692E-08	9.283736E-09	5.620065E-09	9.267146E-09
RN091	3651	2900.000972	3633.987088	19.622226	9.43220	0.235201		1.250051E-08	8.245700E-09	5.247687E-09	7.520221E-09
RN099	3651	3000.007665	3665.897766	21.225009	11.83666	0.246352		1.095528E-08	8.457907E-09	5.151350E-09	9.053796E-09
RN107	3651	3100.000681	3671.684238	21.158136	14.53019	0.251744		9.427097E-09	7.727072E-09	4.932025E-09	7.012609E-09
RN115	3651	3200.001704	3668.734065	21.194274	17.52197	0.256415		8.388110E-09	6.955418E-09	4.839861E-09	6.254899E-09
RN123	3651	3300.002355	3626.007353	19.015235	20.66790	0.249293		7.121478E-09	6.612951E-09	4.334757E-09	5.597039E-09
RN131	3651	3400.000875	3634.138814	20.658129	24.48729	0.273944		6.138980E-09	6.000819E-09	4.035434E-09	6.097897E-09
RN139	3651	3500.001321	3648.693956	19.501911	28.77767	0.281845		5.231791E-09	5.535316E-09	3.657113E-09	7.384947E-09
RN147	3651	3600.002031	3643.118853	20.606042	33.43595	0.297292		4.426961E-09	4.869754E-09	3.217746E-09	8.104898E-09
RN006	4000	1900.003355	3951.973076	23.353959	-0.08083	0.178198		5.763717E-08	1.635485E-08	1.053279E-08	6.355239E-09
RN013	4000	2000.004505	3954.713622	22.224334	0.13504	0.175331		4.718530E-08	1.589998E-08	1.049566E-08	5.077125E-09
RN020	4000	2100.000401	3946.398987	22.024143	0.45253	0.176823		4.229291E-08	1.464718E-08	9.000225E-09	8.932353E-09
RN028	4000	2200.001005	3981.582562	22.146294	1.00089	0.179708		3.933725E-08	1.560368E-08	9.517982E-09	1.002283E-08
RN036	4000	2250.001096	3942.062907	22.298191	1.24803	0.195839		3.425489E-08	1.454202E-08	8.860620E-09	9.801349E-09
RN044	4000	2300.001057	3945.188269	21.912253	1.63392	0.196221		3.216987E-08	1.375935E-08	8.581698E-09	4.363069E-09
RN052	4000	2400.001105	3924.309088	21.887062	2.43351	0.197345		2.781684E-08	1.285488E-08	8.077610E-09	6.812724E-09
RN060	4000	2500.001096	3925.377543	21.787136	3.52144	0.216987		2.323651E-08	1.261899E-08	7.749995E-09	1.104867E-08
RN068	4000	2600.004334	3965.370255	22.246565	4.87549	0.216804		2.297202E-08	1.318611E-08	8.240559E-09	1.060217E-08
RN076	4000	2700.000113	3919.476459	22.411263	6.31709	0.223740		1.936693E-08	1.160027E-08	7.427254E-09	1.174582E-08
