elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T4.5_nvt_a19.0.outcar.umd.dat	15623	1.02	2.7e-13	1.8e-15	-1.06e-01	6.3e-01	7.2e-03	4500	253	>1.3e+01	3.88e-01	2.2e-02	>1.1e-03	-5.63e+00	6.9e-02	>1.6e-02	-1.171e+03	1.4e+01	>3.3e+00	-2.689e+04	3.3e+02	>7.6e+01	6.59	7.2e-02	5.48e+01	6.0e-01	2.72e+00	3.0e-02	1.89e-20	2.1e-22
NaAlSi3O8_T4_nvt_a12.0.outcar.umd.dat	17500	4.03	1.4e-13	5.9e-15	4.96e+01	2.3e+00	6.3e-02	4000	234	>6.0e+00	3.45e-01	2.0e-02	>5.2e-04	-5.87e+00	4.8e-02	>1.3e-02	-1.220e+03	1.0e+01	>2.6e+00	-2.802e+04	2.3e+02	>6.0e+01	4.08	4.2e-02	3.39e+01	3.5e-01	1.68e+00	1.7e-02	1.17e-20	1.2e-22
NaAlSi3O8_T4_nvt_a12.25.outcar.umd.dat	9263	3.79	6.6e-13	6.6e-15	3.84e+01	2.1e+00	5.8e-02	3948	218	>5.5e+00	3.40e-01	1.9e-02	>4.7e-04	-5.94e+00	4.6e-02	2.3e-03	-1.235e+03	9.5e+00	4.8e-01	-2.837e+04	2.2e+02	1.1e+01	3.74	5.5e-02	3.11e+01	4.6e-01	1.54e+00	2.3e-02	1.07e-20	1.6e-22
NaAlSi3O8_T4_nvt_a12.5.outcar.umd.dat	17500	3.57	9.5e-13	7.1e-15	2.99e+01	2.1e+00	6.0e-02	4000	229	>9.6e+00	3.45e-01	2.0e-02	>8.3e-04	-5.99e+00	4.7e-02	>8.7e-03	-1.245e+03	9.7e+00	>1.8e+00	-2.860e+04	2.2e+02	>4.1e+01	3.80	3.9e-02	3.16e+01	3.2e-01	1.56e+00	1.6e-02	1.09e-20	1.1e-22
NaAlSi3O8_T4_nvt_a13.0.outcar.umd.dat	17500	3.17	4.6e-13	5.6e-15	1.79e+01	1.9e+00	4.0e-02	4000	229	>5.9e+00	3.45e-01	2.0e-02	>5.1e-04	-6.06e+00	4.8e-02	2.9e-03	-1.260e+03	1.0e+01	6.1e-01	-2.893e+04	2.3e+02	1.4e+01	4.03	3.9e-02	3.35e+01	3.3e-01	1.66e+00	1.6e-02	1.16e-20	1.1e-22
NaAlSi3O8_T4_nvt_a13.5.outcar.umd.dat	18500	2.83	4.2e-13	4.2e-15	1.02e+01	1.7e+00	2.4e-02	4000	222	>1.7e+01	3.45e-01	1.9e-02	>1.5e-03	-6.11e+00	5.0e-02	>7.7e-03	-1.270e+03	1.0e+01	>1.6e+00	-2.918e+04	2.4e+02	>3.7e+01	4.31	4.2e-02	3.59e+01	3.5e-01	1.78e+00	1.7e-02	1.24e-20	1.2e-22
NaAlSi3O8_T4_nvt_a14.0.outcar.umd.dat	19121	2.54	6.4e-13	4.3e-15	5.52e+00	1.5e+00	2.1e-02	4000	222	>7.0e+00	3.45e-01	1.9e-02	>6.0e-04	-6.12e+00	4.8e-02	>5.3e-03	-1.272e+03	1.0e+01	>1.1e+00	-2.922e+04	2.3e+02	>2.5e+01	4.10	4.1e-02	3.41e+01	3.4e-01	1.69e+00	1.7e-02	1.18e-20	1.2e-22
NaAlSi3O8_T4_nvt_a14.5.outcar.umd.dat	17500	2.29	5.2e-13	1.4e-15	2.60e+00	1.4e+00	2.1e-02	4000	225	>2.1e+01	3.45e-01	1.9e-02	>1.8e-03	-6.13e+00	5.1e-02	3.4e-03	-1.275e+03	1.1e+01	7.1e-01	-2.927e+04	2.4e+02	1.6e+01	4.54	4.7e-02	3.77e+01	3.9e-01	1.87e+00	2.0e-02	1.30e-20	1.4e-22
NaAlSi3O8_T4_nvt_a15.0.outcar.umd.dat	15900	2.06	6.5e-13	2.4e-15	1.23e+00	1.3e+00	1.4e-02	4000	222	>6.8e+00	3.45e-01	1.9e-02	>5.9e-04	-6.09e+00	5.3e-02	>7.7e-03	-1.266e+03	1.1e+01	>1.6e+00	-2.908e+04	2.5e+02	>3.7e+01	4.83	5.3e-02	4.01e+01	4.4e-01	1.99e+00	2.2e-02	1.39e-20	1.5e-22
NaAlSi3O8_T4_nvt_a15.5.outcar.umd.dat	14900	1.87	5.5e-13	3.3e-15	2.86e-01	1.1e+00	1.3e-02	4000	230	>1.4e+01	3.45e-01	2.0e-02	>1.2e-03	-6.06e+00	5.0e-02	>5.3e-03	-1.261e+03	1.0e+01	>1.1e+00	-2.896e+04	2.4e+02	>2.5e+01	4.37	4.8e-02	3.63e+01	4.0e-01	1.80e+00	2.0e-02	1.25e-20	1.4e-22
NaAlSi3O8_T4_nvt_a16.0.outcar.umd.dat	17002	1.70	1.6e-13	4.0e-15	-4.09e-03	1.1e+00	1.2e-02	3999	231	>1.4e+01	3.45e-01	2.0e-02	>1.2e-03	-6.02e+00	5.4e-02	>5.3e-03	-1.252e+03	1.1e+01	>1.1e+00	-2.875e+04	2.6e+02	>2.5e+01	5.15	5.6e-02	4.29e+01	4.6e-01	2.12e+00	2.3e-02	1.48e-20	1.6e-22
NaAlSi3O8_T4_nvt_a16.5.outcar.umd.dat	16150	1.55	3.0e-13	7.9e-16	-2.53e-01	9.3e-01	1.0e-02	4000	225	1.9e+00	3.45e-01	1.9e-02	1.6e-04	-5.99e+00	5.6e-02	>6.7e-03	-1.246e+03	1.2e+01	>1.4e+00	-2.862e+04	2.7e+02	>3.2e+01	5.40	6.0e-02	4.49e+01	5.0e-01	2.23e+00	2.5e-02	1.55e-20	1.7e-22
NaAlSi3O8_T4_nvt_a17.0.outcar.umd.dat	15606	1.42	2.1e-13	2.2e-15	-2.55e-01	8.6e-01	9.6e-03	4000	229	>5.2e+00	3.45e-01	2.0e-02	>4.5e-04	-5.95e+00	5.4e-02	>9.6e-03	-1.238e+03	1.1e+01	>2.0e+00	-2.844e+04	2.6e+02	>4.6e+01	5.08	5.6e-02	4.23e+01	4.7e-01	2.09e+00	2.3e-02	1.46e-20	1.6e-22
