elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T4_nvt_a11.6_hard.outcar.umd.dat	6080	4.46	5.5e-14	9.5e-16	7.63e+01	2.2e+00	1.0e-01	3985	233	>1.0e+01	3.43e-01	2.0e-02	>8.6e-04	-5.68e+00	4.4e-02	3.0e-03	-1.182e+03	9.2e+00	6.2e-01	-2.715e+04	2.1e+02	1.4e+01	3.46	5.7e-02	2.87e+01	4.7e-01	1.43e+00	2.3e-02	9.93e-21	1.6e-22
NaAlSi3O8_T4_nvt_a11.75_hard.outcar.umd.dat	6299	4.29	6.5e-13	1.2e-15	6.55e+01	2.2e+00	7.7e-02	3985	226	>9.3e+00	3.43e-01	1.9e-02	>8.0e-04	-5.77e+00	4.6e-02	>9.1e-03	-1.199e+03	9.6e+00	>1.9e+00	-2.754e+04	2.2e+02	>4.4e+01	3.71	6.5e-02	3.09e+01	5.4e-01	1.53e+00	2.7e-02	1.07e-20	1.9e-22
NaAlSi3O8_T4_nvt_a12.0_hard.outcar.umd.dat	5396	4.03	4.3e-13	2.0e-15	5.08e+01	2.4e+00	1.2e-01	3988	239	>1.1e+01	3.44e-01	2.1e-02	>9.5e-04	-5.85e+00	5.3e-02	>7.7e-03	-1.217e+03	1.1e+01	>1.6e+00	-2.796e+04	2.5e+02	>3.7e+01	4.95	9.7e-02	4.12e+01	8.1e-01	2.04e+00	4.0e-02	1.42e-20	2.8e-22
NaAlSi3O8_T4_nvt_a12.25_hard.outcar.umd.dat	5741	3.79	5.3e-13	3.6e-15	3.90e+01	2.1e+00	1.0e-01	3989	213	>1.3e+01	3.44e-01	1.8e-02	>1.1e-03	-5.94e+00	4.7e-02	3.4e-03	-1.236e+03	9.8e+00	7.1e-01	-2.837e+04	2.2e+02	1.6e+01	3.89	7.0e-02	3.23e+01	5.8e-01	1.60e+00	2.9e-02	1.12e-20	2.0e-22
NaAlSi3O8_T4_nvt_a12.5_hard.outcar.umd.dat	5256	3.57	5.0e-13	2.1e-15	3.00e+01	2.0e+00	7.4e-02	3989	229	>1.7e+01	3.44e-01	2.0e-02	>1.5e-03	-5.99e+00	5.2e-02	>1.4e-02	-1.246e+03	1.1e+01	>3.0e+00	-2.861e+04	2.5e+02	>6.9e+01	4.66	8.8e-02	3.88e+01	7.3e-01	1.92e+00	3.6e-02	1.34e-20	2.5e-22
NaAlSi3O8_T4_nvt_a13.0_hard.outcar.umd.dat	4998	3.17	1.9e-13	1.9e-15	1.83e+01	1.8e+00	6.8e-02	3992	219	>1.1e+01	3.44e-01	1.9e-02	>9.5e-04	-6.07e+00	5.4e-02	>1.2e-02	-1.262e+03	1.1e+01	>2.5e+00	-2.897e+04	2.6e+02	>5.7e+01	5.02	9.4e-02	4.18e+01	7.8e-01	2.07e+00	3.9e-02	1.44e-20	2.7e-22
NaAlSi3O8_T5_nvt_a10.5_hard.outcar.umd.dat	8527	6.02	1.3e-12	4.4e-16	2.51e+02	3.0e+00	1.1e-01	5000	273	>3.1e+01	4.31e-01	2.4e-02	>2.7e-03	-4.06e+00	5.9e-02	>3.8e-02	-8.440e+02	1.2e+01	>7.9e+00	-1.938e+04	2.8e+02	>1.8e+02	3.88	5.6e-02	3.23e+01	4.7e-01	1.60e+00	2.3e-02	1.11e-20	1.6e-22
NaAlSi3O8_T5_nvt_a10.75_hard.outcar.umd.dat	7512	5.61	1.6e-13	2.5e-15	1.96e+02	3.0e+00	1.5e-01	5000	283	>9.5e+00	4.31e-01	2.4e-02	>8.2e-04	-4.51e+00	5.8e-02	>1.7e-02	-9.381e+02	1.2e+01	>3.5e+00	-2.154e+04	2.8e+02	>8.0e+01	3.78	5.5e-02	3.14e+01	4.6e-01	1.56e+00	2.3e-02	1.09e-20	1.6e-22
NaAlSi3O8_T5_nvt_a11.0_hard.outcar.umd.dat	7321	5.23	1.9e-13	4.7e-15	1.53e+02	2.9e+00	1.2e-01	4976	277	>9.9e+00	4.29e-01	2.4e-02	>8.5e-04	-4.84e+00	5.8e-02	>8.2e-03	-1.006e+03	1.2e+01	>1.7e+00	-2.310e+04	2.8e+02	>3.9e+01	3.79	6.6e-02	3.15e+01	5.5e-01	1.56e+00	2.7e-02	1.09e-20	1.9e-22
NaAlSi3O8_T5_nvt_a11.35_hard.outcar.umd.dat	4851	4.76	3.2e-13	1.4e-15	1.08e+02	2.7e+00	1.4e-01	4979	282	>1.2e+01	4.29e-01	2.4e-02	>1.0e-03	-5.18e+00	5.5e-02	>5.8e-03	-1.078e+03	1.1e+01	>1.2e+00	-2.476e+04	2.6e+02	>2.8e+01	3.37	7.5e-02	2.80e+01	6.3e-01	1.39e+00	3.1e-02	9.66e-21	2.2e-22
NaAlSi3O8_T5_nvt_a11.5_hard.outcar.umd.dat	5083	4.58	4.2e-13	2.0e-15	9.31e+01	2.6e+00	1.3e-01	4980	283	>1.2e+01	4.29e-01	2.4e-02	>1.0e-03	-5.27e+00	5.9e-02	>6.3e-03	-1.097e+03	1.2e+01	>1.3e+00	-2.519e+04	2.8e+02	>3.0e+01	3.99	7.8e-02	3.31e+01	6.5e-01	1.64e+00	3.2e-02	1.14e-20	2.2e-22
NaAlSi3O8_T5_nvt_a11.6_hard.outcar.umd.dat	5490	4.46	5.5e-14	9.8e-16	8.47e+01	2.6e+00	1.3e-01	4980	285	>1.2e+01	4.29e-01	2.5e-02	>1.0e-03	-5.33e+00	6.0e-02	4.2e-03	-1.110e+03	1.2e+01	8.7e-01	-2.548e+04	2.9e+02	2.0e+01	4.01	8.4e-02	3.34e+01	7.0e-01	1.65e+00	3.5e-02	1.15e-20	2.4e-22
NaAlSi3O8_T5_nvt_a11.75_hard.outcar.umd.dat	5804	4.29	5.5e-13	1.2e-15	7.27e+01	2.4e+00	1.2e-01	4982	276	>1.2e+01	4.29e-01	2.4e-02	>1.0e-03	-5.41e+00	6.2e-02	>1.0e-02	-1.125e+03	1.3e+01	>2.1e+00	-2.584e+04	3.0e+02	>4.8e+01	4.30	7.8e-02	3.58e+01	6.5e-01	1.77e+00	3.2e-02	1.24e-20	2.2e-22
NaAlSi3O8_T5_nvt_a11.9_hard.outcar.umd.dat	6168	4.13	6.4e-13	2.4e-16	6.35e+01	2.4e+00	1.1e-01	4983	288	>3.4e+01	4.29e-01	2.5e-02	>2.9e-03	-5.46e+00	5.7e-02	>1.6e-02	-1.136e+03	1.2e+01	>3.3e+00	-2.610e+04	2.7e+02	>7.6e+01	3.69	6.4e-02	3.06e+01	5.3e-01	1.52e+00	2.6e-02	1.06e-20	1.8e-22
